"Property prices in housing market by prices of completed transactions,"
"time, area and property category"

" "," "," ","Detached/terraced house","Owner-occupied flat"
"Final listing price"
" ","2024Q2"
" "," ","Capital region",34660,46190
" "," ","Subregion Copenhagen City",50011,53852
" "," ","Copenhagen",53340,53310
" "," ","Frederiksberg",77839,58668
" "," ","Dragør",36617,41709
" "," ","Tårnby",36665,36123
" "," ","Subregion Copenhagen suburbs",38414,38026
" "," ","Albertslund",25238,26997
" "," ","Ballerup",31012,33796
" "," ","Brøndby",30786,..
" "," ","Gentofte",59317,50008
" "," ","Gladsaxe",41216,35189
" "," ","Glostrup",31099,31303
" "," ","Herlev",32640,36174
" "," ","Hvidovre",36176,32683
" "," ","Høje-Taastrup",26321,26586
" "," ","Ishøj",25388,27052
" "," ","Lyngby-Taarbæk",48344,42420
" "," ","Rødovre",35638,34577
" "," ","Vallensbæk",31083,27901
" "," ","Subregion North Zealand",29194,29773
" "," ","Allerød",31284,25719
" "," ","Egedal",26359,26428
" "," ","Fredensborg",31517,20603
" "," ","Frederikssund",21200,23560
" "," ","Furesø",37080,29152
" "," ","Gribskov",19952,28364
" "," ","Halsnæs",17260,21341
" "," ","Helsingør",28304,25692
" "," ","Hillerød",26467,29784
" "," ","Hørsholm",39607,36732
" "," ","Rudersdal",43982,39529
" "," ","Subregion Bornholm",10386,23171
" "," ","Bornholm",10386,23171
" "," ","Region Zealand",15080,21894
" "," ","Subregion East Zealand",24883,30508
" "," ","Greve",27221,32423
" "," ","Køge",22917,30988
" "," ","Lejre",17863,..
" "," ","Roskilde",26779,30110
" "," ","Solrød",27263,30312
" "," ","Subregion West and South Zealand",11507,16579
" "," ","Faxe",12602,..
" "," ","Guldborgsund",8137,16305
" "," ","Holbæk",16450,25491
" "," ","Kalundborg",11429,17151
" "," ","Lolland",5285,..
" "," ","Næstved",13656,15828
" "," ","Odsherred",9677,16109
" "," ","Ringsted",15475,16871
" "," ","Slagelse",12096,12792
" "," ","Sorø",12425,18587
" "," ","Stevns",15112,..
" "," ","Vordingborg",9256,16962
" "," ","Region of Southern Denmark",12084,19039
" "," ","Subregion Funen",13139,21531
" "," ","Assens",8444,..
" "," ","Faaborg-Central Funen",9162,13040
" "," ","Kerteminde",12285,..
" "," ","Langeland",7697,16760
" "," ","Middelfart",12417,19764
" "," ","North Funen",8717,22044
" "," ","Nyborg",10812,24269
" "," ","Odense",18301,23781
" "," ","Svendborg",15017,11856
" "," ","Ærø",9594,0
" "," ","Subregion South Jutland",11347,16331
" "," ","Billund",12532,..
" "," ","Esbjerg",14125,17513
" "," ","Fanø",15873,..
" "," ","Fredericia",13698,15917
" "," ","Haderslev",8908,15145
" "," ","Kolding",13111,15592
" "," ","Sønderborg",9799,17347
" "," ","Tønder",5827,12976
" "," ","Varde",10079,12338
" "," ","Vejen",8223,..
" "," ","Vejle",14086,20502
" "," ","Aabenraa",8315,12605
" "," ","Central Denmark Region",14628,28406
" "," ","Subregion East Jutland",17617,31300
" "," ","Favrskov",13984,..
" "," ","Hedensted",10287,..
" "," ","Horsens",14059,17390
" "," ","Norddjurs",7579,7602
" "," ","Odder",16037,..
" "," ","Randers",11269,9375
" "," ","Samsø",12977,..
" "," ","Silkeborg",17006,21381
" "," ","Skanderborg",20182,24777
" "," ","Syddjurs",13414,23557
" "," ","Århus",28072,38926
" "," ","Subregion West Jutland",9641,14089
" "," ","Herning",11154,14297
" "," ","Holstebro",11875,13398
" "," ","Ikast-Brande",10153,..
" "," ","Lemvig",6217,..
" "," ","Ringkøbing-Skjern",8328,18218
" "," ","Skive",6593,..
" "," ","Struer",7436,0
" "," ","Viborg",10631,..
" "," ","Region of North Jutland",10874,19173
" "," ","Subregion North Jutland",10874,19173
" "," ","Brønderslev",8347,..
" "," ","Frederikshavn",10212,21213
" "," ","Hjørring",8183,15077
" "," ","Jammerbugt",9861,11135
" "," ","Læsø",8737,0
" "," ","Mariagerfjord",8828,..
" "," ","Morsø",6646,0
" "," ","Rebild",11808,..
" "," ","Thisted",8395,..
" "," ","Vesthimmerlands",7217,..
" "," ","Aalborg",16477,20442

