"Population at the first day of the quarter by marital status, age, sex,"
"region and time"

" "," "," "," ","2024Q3"
"Total"
" ","Age, total"
" "," ","Total"
" "," "," ","Region Hovedstaden",1918855
" "," "," ","Copenhagen",661831
" "," "," ","Frederiksberg",105196
" "," "," ","Dragør",14457
" "," "," ","Tårnby",43957
" "," "," ","Albertslund",27545
" "," "," ","Ballerup",52103
" "," "," ","Brøndby",39657
" "," "," ","Gentofte",75053
" "," "," ","Gladsaxe",70902
" "," "," ","Glostrup",23899
" "," "," ","Herlev",30177
" "," "," ","Hvidovre",53803
" "," "," ","Høje-Taastrup",58465
" "," "," ","Ishøj",23791
" "," "," ","Lyngby-Taarbæk",58530
" "," "," ","Rødovre",44637
" "," "," ","Vallensbæk",17960
" "," "," ","Allerød",25977
" "," "," ","Egedal",45547
" "," "," ","Fredensborg",42042
" "," "," ","Frederikssund",46856
" "," "," ","Furesø",42553
" "," "," ","Gribskov",41958
" "," "," ","Halsnæs",31632
" "," "," ","Helsingør",64016
" "," "," ","Hillerød",54717
" "," "," ","Hørsholm",24937
" "," "," ","Rudersdal",57308
" "," "," ","Bornholm",39257
" "," "," ","Christiansø",92
" "," "," ","Region Sjælland",853885
" "," "," ","Greve",52672
" "," "," ","Køge",63003
" "," "," ","Lejre",29439
" "," "," ","Roskilde",91360
" "," "," ","Solrød",24651
" "," "," ","Faxe",37656
" "," "," ","Guldborgsund",59546
" "," "," ","Holbæk",74260
" "," "," ","Kalundborg",48273
" "," "," ","Lolland",39453
" "," "," ","Næstved",84771
" "," "," ","Odsherred",32535
" "," "," ","Ringsted",36313
" "," "," ","Slagelse",80185
" "," "," ","Sorø",30656
" "," "," ","Stevns",23646
" "," "," ","Vordingborg",45466
" "," "," ","Region Syddanmark",1239234
" "," "," ","Assens",40577
" "," "," ","Faaborg-Midtfyn",52282
" "," "," ","Kerteminde",23955
" "," "," ","Langeland",12147
" "," "," ","Middelfart",40351
" "," "," ","Nordfyns",29592
" "," "," ","Nyborg",32214
" "," "," ","Odense",209690
" "," "," ","Svendborg",59835
" "," "," ","Ærø",5919
" "," "," ","Billund",27179
" "," "," ","Esbjerg",115268
" "," "," ","Fanø",3327
" "," "," ","Fredericia",52475
" "," "," ","Haderslev",55353
" "," "," ","Kolding",95249
" "," "," ","Sønderborg",74017
" "," "," ","Tønder",36536
" "," "," ","Varde",49701
" "," "," ","Vejen",42885
" "," "," ","Vejle",122022
" "," "," ","Aabenraa",58660
" "," "," ","Region Midtjylland",1367809
" "," "," ","Favrskov",49335
" "," "," ","Hedensted",47876
" "," "," ","Horsens",97517
" "," "," ","Norddjurs",36694
" "," "," ","Odder",23971
" "," "," ","Randers",100248
" "," "," ","Samsø",3679
" "," "," ","Silkeborg",101264
" "," "," ","Skanderborg",65376
" "," "," ","Syddjurs",44033
" "," "," ","Aarhus",368131
" "," "," ","Herning",90005
" "," "," ","Holstebro",59064
" "," "," ","Ikast-Brande",42954
" "," "," ","Lemvig",18986
" "," "," ","Ringkøbing-Skjern",56019
" "," "," ","Skive",44589
" "," "," ","Struer",20409
" "," "," ","Viborg",97659
" "," "," ","Region Nordjylland",592637
" "," "," ","Brønderslev",36602
" "," "," ","Frederikshavn",58312
" "," "," ","Hjørring",63570
" "," "," ","Jammerbugt",38170
" "," "," ","Læsø",1751
" "," "," ","Mariagerfjord",41844
" "," "," ","Morsø",19611
" "," "," ","Rebild",30962
" "," "," ","Thisted",42910
" "," "," ","Vesthimmerlands",35864
" "," "," ","Aalborg",223041

